7
AgPcAbXDvo FbehfsZh_r TxUjXFu_Kl ddKzDGGDDR eijtCNUwjl hThJdiVeoU nNGqiepYhJ
84
AgPcAbXDvo - FbehfsZh_r : 5 - 3
AgPcAbXDvo - TxUjXFu_Kl : 5 - 8
AgPcAbXDvo - ddKzDGGDDR : 6 - 9
AgPcAbXDvo - eijtCNUwjl : 4 - 8
AgPcAbXDvo - hThJdiVeoU : 6 - 7
AgPcAbXDvo - nNGqiepYhJ : 4 - 9
FbehfsZh_r - AgPcAbXDvo : 0 - 1
FbehfsZh_r - TxUjXFu_Kl : 4 - 10
FbehfsZh_r - ddKzDGGDDR : 3 - 7
FbehfsZh_r - eijtCNUwjl : 3 - 1
FbehfsZh_r - hThJdiVeoU : 5 - 3
FbehfsZh_r - nNGqiepYhJ : 2 - 6
TxUjXFu_Kl - AgPcAbXDvo : 5 - 10
TxUjXFu_Kl - FbehfsZh_r : 9 - 4
TxUjXFu_Kl - ddKzDGGDDR : 1 - 6
TxUjXFu_Kl - eijtCNUwjl : 9 - 2
TxUjXFu_Kl - hThJdiVeoU : 10 - 2
TxUjXFu_Kl - nNGqiepYhJ : 9 - 10
ddKzDGGDDR - AgPcAbXDvo : 0 - 8
ddKzDGGDDR - FbehfsZh_r : 7 - 6
ddKzDGGDDR - TxUjXFu_Kl : 8 - 0
ddKzDGGDDR - eijtCNUwjl : 4 - 7
ddKzDGGDDR - hThJdiVeoU : 6 - 10
ddKzDGGDDR - nNGqiepYhJ : 1 - 9
eijtCNUwjl - AgPcAbXDvo : 5 - 2
eijtCNUwjl - FbehfsZh_r : 1 - 1
eijtCNUwjl - TxUjXFu_Kl : 9 - 4
eijtCNUwjl - ddKzDGGDDR : 0 - 7
eijtCNUwjl - hThJdiVeoU : 4 - 3
eijtCNUwjl - nNGqiepYhJ : 8 - 4
hThJdiVeoU - AgPcAbXDvo : 5 - 4
hThJdiVeoU - FbehfsZh_r : 10 - 0
hThJdiVeoU - TxUjXFu_Kl : 4 - 10
hThJdiVeoU - ddKzDGGDDR : 8 - 3
hThJdiVeoU - eijtCNUwjl : 0 - 7
hThJdiVeoU - nNGqiepYhJ : 10 - 8
nNGqiepYhJ - AgPcAbXDvo : 7 - 5
nNGqiepYhJ - FbehfsZh_r : 9 - 7
nNGqiepYhJ - TxUjXFu_Kl : 5 - 6
nNGqiepYhJ - ddKzDGGDDR : 0 - 6
nNGqiepYhJ - eijtCNUwjl : 9 - 4
nNGqiepYhJ - hThJdiVeoU : 2 - 2
AgPcAbXDvo - FbehfsZh_r : 7 - 2
AgPcAbXDvo - TxUjXFu_Kl : 3 - 8
AgPcAbXDvo - ddKzDGGDDR : 5 - 5
AgPcAbXDvo - eijtCNUwjl : 9 - 1
AgPcAbXDvo - hThJdiVeoU : 5 - 6
AgPcAbXDvo - nNGqiepYhJ : 9 - 7
FbehfsZh_r - AgPcAbXDvo : 3 - 7
FbehfsZh_r - TxUjXFu_Kl : 4 - 3
FbehfsZh_r - ddKzDGGDDR : 1 - 10
FbehfsZh_r - eijtCNUwjl : 0 - 1
FbehfsZh_r - hThJdiVeoU : 0 - 3
FbehfsZh_r - nNGqiepYhJ : 3 - 8
TxUjXFu_Kl - AgPcAbXDvo : 5 - 1
TxUjXFu_Kl - FbehfsZh_r : 8 - 9
TxUjXFu_Kl - ddKzDGGDDR : 4 - 2
TxUjXFu_Kl - eijtCNUwjl : 4 - 0
TxUjXFu_Kl - hThJdiVeoU : 5 - 8
TxUjXFu_Kl - nNGqiepYhJ : 2 - 10
ddKzDGGDDR - AgPcAbXDvo : 2 - 8
ddKzDGGDDR - FbehfsZh_r : 1 - 10
ddKzDGGDDR - TxUjXFu_Kl : 8 - 7
ddKzDGGDDR - eijtCNUwjl : 7 - 7
ddKzDGGDDR - hThJdiVeoU : 2 - 4
ddKzDGGDDR - nNGqiepYhJ : 8 - 0
eijtCNUwjl - AgPcAbXDvo : 5 - 8
eijtCNUwjl - FbehfsZh_r : 5 - 1
eijtCNUwjl - TxUjXFu_Kl : 0 - 8
eijtCNUwjl - ddKzDGGDDR : 6 - 4
eijtCNUwjl - hThJdiVeoU : 5 - 4
eijtCNUwjl - nNGqiepYhJ : 4 - 8
hThJdiVeoU - AgPcAbXDvo : 7 - 10
hThJdiVeoU - FbehfsZh_r : 3 - 5
hThJdiVeoU - TxUjXFu_Kl : 2 - 5
hThJdiVeoU - ddKzDGGDDR : 8 - 3
hThJdiVeoU - eijtCNUwjl : 8 - 1
hThJdiVeoU - nNGqiepYhJ : 6 - 10
nNGqiepYhJ - AgPcAbXDvo : 7 - 5
nNGqiepYhJ - FbehfsZh_r : 4 - 5
nNGqiepYhJ - TxUjXFu_Kl : 3 - 6
nNGqiepYhJ - ddKzDGGDDR : 3 - 3
nNGqiepYhJ - eijtCNUwjl : 9 - 1
nNGqiepYhJ - hThJdiVeoU : 5 - 7
