7
KnvZKOcCaw LcSUFWejha PFrkMoltqF SOwDrLBrfw VPqfnOfVdR ZiVxiETopX _HICABOTUs
189
_HICABOTUs - VPqfnOfVdR : 3 - 3
ZiVxiETopX - KnvZKOcCaw : 7 - 7
KnvZKOcCaw - VPqfnOfVdR : 1 - 1
ZiVxiETopX - PFrkMoltqF : 10 - 10
LcSUFWejha - SOwDrLBrfw : 1 - 1
SOwDrLBrfw - _HICABOTUs : 3 - 3
ZiVxiETopX - SOwDrLBrfw : 9 - 9
VPqfnOfVdR - KnvZKOcCaw : 10 - 10
_HICABOTUs - VPqfnOfVdR : 0 - 0
PFrkMoltqF - ZiVxiETopX : 3 - 3
_HICABOTUs - KnvZKOcCaw : 10 - 10
PFrkMoltqF - ZiVxiETopX : 3 - 3
_HICABOTUs - LcSUFWejha : 7 - 7
SOwDrLBrfw - ZiVxiETopX : 8 - 8
_HICABOTUs - VPqfnOfVdR : 1 - 1
_HICABOTUs - SOwDrLBrfw : 5 - 5
VPqfnOfVdR - _HICABOTUs : 3 - 3
LcSUFWejha - ZiVxiETopX : 0 - 0
SOwDrLBrfw - _HICABOTUs : 1 - 1
VPqfnOfVdR - ZiVxiETopX : 0 - 0
PFrkMoltqF - VPqfnOfVdR : 1 - 1
PFrkMoltqF - _HICABOTUs : 2 - 2
_HICABOTUs - PFrkMoltqF : 0 - 0
SOwDrLBrfw - LcSUFWejha : 6 - 6
SOwDrLBrfw - LcSUFWejha : 2 - 2
_HICABOTUs - SOwDrLBrfw : 0 - 0
SOwDrLBrfw - _HICABOTUs : 2 - 2
SOwDrLBrfw - KnvZKOcCaw : 10 - 10
PFrkMoltqF - KnvZKOcCaw : 4 - 4
_HICABOTUs - PFrkMoltqF : 5 - 5
VPqfnOfVdR - LcSUFWejha : 1 - 1
_HICABOTUs - SOwDrLBrfw : 10 - 10
SOwDrLBrfw - KnvZKOcCaw : 0 - 0
PFrkMoltqF - KnvZKOcCaw : 4 - 4
LcSUFWejha - SOwDrLBrfw : 2 - 2
PFrkMoltqF - SOwDrLBrfw : 10 - 10
LcSUFWejha - _HICABOTUs : 8 - 8
KnvZKOcCaw - ZiVxiETopX : 3 - 3
ZiVxiETopX - _HICABOTUs : 9 - 9
VPqfnOfVdR - KnvZKOcCaw : 4 - 4
PFrkMoltqF - VPqfnOfVdR : 10 - 10
LcSUFWejha - PFrkMoltqF : 2 - 2
ZiVxiETopX - KnvZKOcCaw : 6 - 6
ZiVxiETopX - SOwDrLBrfw : 3 - 3
