7
GHkmEbaPVY WUImxp_BTU ciA_IAAmIO eFGyKBFciz fjfDY_DbzE iHgTHwPipu yCvIxHcUzZ
168
GHkmEbaPVY - WUImxp_BTU : 1 - 6
GHkmEbaPVY - ciA_IAAmIO : 2 - 10
GHkmEbaPVY - eFGyKBFciz : 0 - 9
GHkmEbaPVY - fjfDY_DbzE : 9 - 6
GHkmEbaPVY - iHgTHwPipu : 10 - 7
GHkmEbaPVY - yCvIxHcUzZ : 3 - 1
WUImxp_BTU - GHkmEbaPVY : 8 - 4
WUImxp_BTU - ciA_IAAmIO : 8 - 10
WUImxp_BTU - eFGyKBFciz : 5 - 9
WUImxp_BTU - fjfDY_DbzE : 9 - 9
WUImxp_BTU - iHgTHwPipu : 5 - 4
WUImxp_BTU - yCvIxHcUzZ : 1 - 1
ciA_IAAmIO - GHkmEbaPVY : 2 - 0
ciA_IAAmIO - WUImxp_BTU : 9 - 8
ciA_IAAmIO - eFGyKBFciz : 9 - 3
ciA_IAAmIO - fjfDY_DbzE : 2 - 10
ciA_IAAmIO - iHgTHwPipu : 4 - 9
ciA_IAAmIO - yCvIxHcUzZ : 5 - 9
eFGyKBFciz - GHkmEbaPVY : 0 - 1
eFGyKBFciz - WUImxp_BTU : 0 - 3
eFGyKBFciz - ciA_IAAmIO : 0 - 3
eFGyKBFciz - fjfDY_DbzE : 5 - 9
eFGyKBFciz - iHgTHwPipu : 8 - 10
eFGyKBFciz - yCvIxHcUzZ : 9 - 5
fjfDY_DbzE - GHkmEbaPVY : 1 - 8
fjfDY_DbzE - WUImxp_BTU : 5 - 6
fjfDY_DbzE - ciA_IAAmIO : 2 - 1
fjfDY_DbzE - eFGyKBFciz : 2 - 2
fjfDY_DbzE - iHgTHwPipu : 5 - 3
fjfDY_DbzE - yCvIxHcUzZ : 2 - 0
iHgTHwPipu - GHkmEbaPVY : 8 - 10
iHgTHwPipu - WUImxp_BTU : 10 - 4
iHgTHwPipu - ciA_IAAmIO : 5 - 1
iHgTHwPipu - eFGyKBFciz : 2 - 5
iHgTHwPipu - fjfDY_DbzE : 8 - 1
iHgTHwPipu - yCvIxHcUzZ : 10 - 0
yCvIxHcUzZ - GHkmEbaPVY : 1 - 2
yCvIxHcUzZ - WUImxp_BTU : 5 - 0
yCvIxHcUzZ - ciA_IAAmIO : 1 - 8
yCvIxHcUzZ - eFGyKBFciz : 4 - 9
yCvIxHcUzZ - fjfDY_DbzE : 1 - 4
yCvIxHcUzZ - iHgTHwPipu : 5 - 9
GHkmEbaPVY - WUImxp_BTU : 3 - 10
GHkmEbaPVY - ciA_IAAmIO : 2 - 2
GHkmEbaPVY - eFGyKBFciz : 4 - 5
GHkmEbaPVY - fjfDY_DbzE : 4 - 6
GHkmEbaPVY - iHgTHwPipu : 5 - 1
GHkmEbaPVY - yCvIxHcUzZ : 1 - 1
WUImxp_BTU - GHkmEbaPVY : 3 - 8
WUImxp_BTU - ciA_IAAmIO : 6 - 2
WUImxp_BTU - eFGyKBFciz : 2 - 8
WUImxp_BTU - fjfDY_DbzE : 3 - 4
WUImxp_BTU - iHgTHwPipu : 3 - 1
WUImxp_BTU - yCvIxHcUzZ : 4 - 8
ciA_IAAmIO - GHkmEbaPVY : 2 - 7
ciA_IAAmIO - WUImxp_BTU : 9 - 0
ciA_IAAmIO - eFGyKBFciz : 0 - 0
ciA_IAAmIO - fjfDY_DbzE : 6 - 5
ciA_IAAmIO - iHgTHwPipu : 6 - 7
ciA_IAAmIO - yCvIxHcUzZ : 5 - 9
eFGyKBFciz - GHkmEbaPVY : 5 - 4
eFGyKBFciz - WUImxp_BTU : 6 - 1
eFGyKBFciz - ciA_IAAmIO : 2 - 7
eFGyKBFciz - fjfDY_DbzE : 0 - 6
eFGyKBFciz - iHgTHwPipu : 6 - 8
eFGyKBFciz - yCvIxHcUzZ : 4 - 2
fjfDY_DbzE - GHkmEbaPVY : 8 - 4
fjfDY_DbzE - WUImxp_BTU : 5 - 10
fjfDY_DbzE - ciA_IAAmIO : 2 - 9
fjfDY_DbzE - eFGyKBFciz : 8 - 4
fjfDY_DbzE - iHgTHwPipu : 5 - 10
fjfDY_DbzE - yCvIxHcUzZ : 9 - 2
iHgTHwPipu - GHkmEbaPVY : 9 - 1
iHgTHwPipu - WUImxp_BTU : 6 - 1
iHgTHwPipu - ciA_IAAmIO : 4 - 4
iHgTHwPipu - eFGyKBFciz : 7 - 9
iHgTHwPipu - fjfDY_DbzE : 3 - 7
iHgTHwPipu - yCvIxHcUzZ : 1 - 9
yCvIxHcUzZ - GHkmEbaPVY : 3 - 2
yCvIxHcUzZ - WUImxp_BTU : 9 - 1
yCvIxHcUzZ - ciA_IAAmIO : 7 - 0
yCvIxHcUzZ - eFGyKBFciz : 0 - 2
yCvIxHcUzZ - fjfDY_DbzE : 9 - 2
yCvIxHcUzZ - iHgTHwPipu : 6 - 7
GHkmEbaPVY - WUImxp_BTU : 9 - 2
GHkmEbaPVY - ciA_IAAmIO : 8 - 7
GHkmEbaPVY - eFGyKBFciz : 0 - 9
GHkmEbaPVY - fjfDY_DbzE : 7 - 9
GHkmEbaPVY - iHgTHwPipu : 8 - 0
GHkmEbaPVY - yCvIxHcUzZ : 4 - 4
WUImxp_BTU - GHkmEbaPVY : 10 - 9
WUImxp_BTU - ciA_IAAmIO : 7 - 2
WUImxp_BTU - eFGyKBFciz : 10 - 10
WUImxp_BTU - fjfDY_DbzE : 7 - 6
WUImxp_BTU - iHgTHwPipu : 6 - 4
WUImxp_BTU - yCvIxHcUzZ : 6 - 10
ciA_IAAmIO - GHkmEbaPVY : 3 - 8
ciA_IAAmIO - WUImxp_BTU : 4 - 10
ciA_IAAmIO - eFGyKBFciz : 8 - 8
ciA_IAAmIO - fjfDY_DbzE : 0 - 1
ciA_IAAmIO - iHgTHwPipu : 5 - 9
ciA_IAAmIO - yCvIxHcUzZ : 3 - 7
eFGyKBFciz - GHkmEbaPVY : 1 - 1
eFGyKBFciz - WUImxp_BTU : 10 - 0
eFGyKBFciz - ciA_IAAmIO : 0 - 3
eFGyKBFciz - fjfDY_DbzE : 1 - 2
eFGyKBFciz - iHgTHwPipu : 2 - 4
eFGyKBFciz - yCvIxHcUzZ : 1 - 0
fjfDY_DbzE - GHkmEbaPVY : 4 - 5
fjfDY_DbzE - WUImxp_BTU : 0 - 1
fjfDY_DbzE - ciA_IAAmIO : 0 - 1
fjfDY_DbzE - eFGyKBFciz : 5 - 1
fjfDY_DbzE - iHgTHwPipu : 1 - 8
fjfDY_DbzE - yCvIxHcUzZ : 2 - 2
iHgTHwPipu - GHkmEbaPVY : 0 - 2
iHgTHwPipu - WUImxp_BTU : 10 - 4
iHgTHwPipu - ciA_IAAmIO : 3 - 3
iHgTHwPipu - eFGyKBFciz : 6 - 8
iHgTHwPipu - fjfDY_DbzE : 8 - 8
iHgTHwPipu - yCvIxHcUzZ : 4 - 3
yCvIxHcUzZ - GHkmEbaPVY : 7 - 6
yCvIxHcUzZ - WUImxp_BTU : 0 - 4
yCvIxHcUzZ - ciA_IAAmIO : 7 - 10
yCvIxHcUzZ - eFGyKBFciz : 6 - 10
yCvIxHcUzZ - fjfDY_DbzE : 4 - 9
yCvIxHcUzZ - iHgTHwPipu : 10 - 6
GHkmEbaPVY - WUImxp_BTU : 5 - 10
GHkmEbaPVY - ciA_IAAmIO : 9 - 3
GHkmEbaPVY - eFGyKBFciz : 0 - 6
GHkmEbaPVY - fjfDY_DbzE : 0 - 7
GHkmEbaPVY - iHgTHwPipu : 8 - 10
GHkmEbaPVY - yCvIxHcUzZ : 9 - 0
WUImxp_BTU - GHkmEbaPVY : 7 - 5
WUImxp_BTU - ciA_IAAmIO : 1 - 6
WUImxp_BTU - eFGyKBFciz : 1 - 9
WUImxp_BTU - fjfDY_DbzE : 9 - 7
WUImxp_BTU - iHgTHwPipu : 3 - 0
WUImxp_BTU - yCvIxHcUzZ : 2 - 0
ciA_IAAmIO - GHkmEbaPVY : 6 - 6
ciA_IAAmIO - WUImxp_BTU : 7 - 3
ciA_IAAmIO - eFGyKBFciz : 0 - 1
ciA_IAAmIO - fjfDY_DbzE : 2 - 3
