7
MdKvsZZOvS RFyLjYFBwl WXLbHUxPYY Y_aFj_KdUE fPwIAufail hiHXTd_rCp vpoWAGjGUO
168
MdKvsZZOvS - RFyLjYFBwl : 9 - 4
MdKvsZZOvS - WXLbHUxPYY : 16 - 9
MdKvsZZOvS - Y_aFj_KdUE : 20 - 10
MdKvsZZOvS - fPwIAufail : 2 - 1
MdKvsZZOvS - hiHXTd_rCp : 19 - 9
MdKvsZZOvS - vpoWAGjGUO : 13 - 9
RFyLjYFBwl - MdKvsZZOvS : 6 - 1
RFyLjYFBwl - WXLbHUxPYY : 5 - 0
RFyLjYFBwl - Y_aFj_KdUE : 2 - 1
RFyLjYFBwl - fPwIAufail : 10 - 5
RFyLjYFBwl - hiHXTd_rCp : 17 - 9
RFyLjYFBwl - vpoWAGjGUO : 15 - 8
WXLbHUxPYY - MdKvsZZOvS : 10 - 0
WXLbHUxPYY - RFyLjYFBwl : 10 - 9
WXLbHUxPYY - Y_aFj_KdUE : 7 - 4
WXLbHUxPYY - fPwIAufail : 12 - 9
WXLbHUxPYY - hiHXTd_rCp : 18 - 10
WXLbHUxPYY - vpoWAGjGUO : 10 - 5
Y_aFj_KdUE - MdKvsZZOvS : 6 - 3
Y_aFj_KdUE - RFyLjYFBwl : 10 - 0
Y_aFj_KdUE - WXLbHUxPYY : 7 - 6
Y_aFj_KdUE - fPwIAufail : 11 - 8
Y_aFj_KdUE - hiHXTd_rCp : 13 - 4
Y_aFj_KdUE - vpoWAGjGUO : 11 - 10
fPwIAufail - MdKvsZZOvS : 16 - 9
fPwIAufail - RFyLjYFBwl : 14 - 4
fPwIAufail - WXLbHUxPYY : 6 - 1
fPwIAufail - Y_aFj_KdUE : 6 - 0
fPwIAufail - hiHXTd_rCp : 12 - 10
fPwIAufail - vpoWAGjGUO : 7 - 0
hiHXTd_rCp - MdKvsZZOvS : 19 - 10
hiHXTd_rCp - RFyLjYFBwl : 16 - 10
hiHXTd_rCp - WXLbHUxPYY : 11 - 3
hiHXTd_rCp - Y_aFj_KdUE : 14 - 5
hiHXTd_rCp - fPwIAufail : 10 - 0
