46 1000
54301382 -63940623
83915879 11790648
-74310809 82073110
50317940 -25060461
85557500 63581074
-62412755 -28365862
-3115734 -95670318
76976021 -53970420
-34273647 -4911546
20613536 69930689
-59580978 -86142591
18468230 9984233
17486970 57841384
-66553834 82616038
38224663 -13063049
22996329 39603209
3910220 -7473956
-25400846 59428570
-65631892 82115774
45696847 -22566544
-98416044 -27558029
-23228347 -64199546
-18169966 -1531778
93556676 6264036
28711088 -99927251
-86069842 66686574
-23329194 69130110
79487856 32398389
15014426 -53325861
33611090 -87065979
-94946407 -46760911
98281496 9123781
-31447649 61480176
96112312 25397012
-44653170 55436822
-19604845 41809158
-69874026 -43069213
55399009 -90316830
15947207 64472371
64545120 -98527953
-79325017 -55341706
-86211597 78475278
63390029 -2654210
96536292 -54207378
11243006 30920818
-63323731 82663744
2 44303888 16296599
2 30293137 -65042236
1 -87128861 -34627399
1 -79190578 26405448
2 20730968 -31782031
2 25148756 53720941
2 63404111 -96626696
2 67845675 33064128
2 87052538 -20648683
2 24009611 32390794
2 63382435 -92272480
2 57589673 90314378
2 -63893001 79288826
2 10209643 54125964
2 89306071 47350005
1 16162967 99402275
2 -13123598 33609958
2 -48501079 -1027534
1 -22105723 -252459
1 67965510 24824706
2 -21454354 -48858393
2 -45485088 45630629
2 31211119 -58050243
2 21301074 -25123051
1 -40215894 18263656
2 25991176 -2172952
1 -11858575 -24317097
2 -45028272 -16419151
2 -9776825 76764787
1 76631154 -82302266
2 -82899992 32045608
1 18171928 45310483
2 -55717051 3976410
2 -96276050 69670849
1 -5504445 74693589
1 -74164805 -75794177
2 69836452 73041201
2 -85009043 32866470
2 -92256581 1047570
1 -28172412 88808395
1 -13364558 -32472475
1 95726791 97818764
2 33915975 -72706771
2 -95941985 -49301482
2 -31603748 -23344487
2 -91298880 -66794469
2 0 0
1 0 0
1 0 0
2 0 0
1 0 0
1 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
1 0 0
1 0 0
1 0 0
1 0 0
2 0 0
1 0 0
2 0 0
2 0 0
1 0 0
2 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
2 0 0
2 0 0
1 0 0
2 0 0
2 0 0
2 0 0
2 0 0
1 0 0
1 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
1 0 0
2 0 0
1 0 0
2 0 0
1 0 0
2 0 0
2 0 0
1 0 0
2 0 0
1 0 0
1 0 0
2 0 0
1 0 0
1 0 0
2 0 0
2 0 0
1 0 0
1 0 0
1 0 0
2 0 0
2 0 0
1 0 0
2 0 0
2 0 0
2 0 0
1 0 0
2 0 0
1 0 0
2 0 0
1 0 0
2 0 0
2 0 0
1 0 0
2 0 0
2 0 0
1 0 0
1 0 0
1 0 0
1 0 0
2 0 0
1 0 0
1 0 0
1 0 0
1 0 0
2 0 0
1 0 0
2 0 0
2 0 0
1 0 0
1 0 0
1 0 0
2 0 0
1 0 0
2 0 0
1 0 0
2 0 0
2 0 0
2 0 0
2 0 0
1 0 0
1 0 0
1 0 0
2 0 0
1 0 0
2 0 0
1 0 0
1 0 0
2 0 0
2 0 0
1 0 0
1 0 0
2 0 0
1 0 0
1 0 0
1 0 0
2 0 0
1 0 0
2 0 0
1 0 0
1 0 0
2 0 0
1 0 0
2 0 0
2 0 0
2 0 0
1 0 0
1 0 0
1 0 0
2 0 0
2 0 0
1 0 0
2 0 0
2 0 0
1 0 0
2 0 0
1 0 0
1 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
1 0 0
1 0 0
2 0 0
2 0 0
1 0 0
1 0 0
1 0 0
2 0 0
1 0 0
1 0 0
1 0 0
2 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
1 0 0
2 0 0
2 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
1 0 0
